"cross_space","cross_run","p_obs","comm_stat","(0,0.33]","(0.33,0.66]","(0.66,1]","land_het","d","v","dcorr"
"var","97.5%",0.1,"abun",4.33066370452254,6.02035755742913,6.63814388211755,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.2,"rich",2.80380649361559,2.87406066715543,1.93551296260233,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.2,"abun",5.92357143129888,12.0456626496823,19.5647260708776,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.3,"rich",2.7857769351784,3.6424159134821,2.55035855021994,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.3,"abun",7.23674173215268,17.7928478968109,32.9495456072825,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.4,"rich",2.63811335857313,3.8210785478907,3.38407561152096,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.4,"abun",7.72394990893054,22.510575584792,42.9599545655013,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.5,"rich",2.56677728170057,3.91056367607527,3.81987832107619,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.5,"abun",9.02665588438569,28.6846855096453,55.3453277498396,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.6,"rich",2.61616358901515,4.02611605438203,4.34439204449994,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.6,"abun",10.1135502342604,32.8356612129995,61.3662398859436,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.7,"rich",2.47955841332936,3.9527286473607,4.71994609814119,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.7,"abun",11.2025969116569,39.3220584753788,67.8010725243234,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.8,"rich",2.49403924578446,4.2473313019306,4.98744711479717,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.8,"abun",12.829538104075,45.6825861866523,69.9074820868081,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.9,"rich",2.47506780093017,4.17597835238728,5.55202834799609,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.9,"abun",13.889100684262,53.5614575935133,76.7086723857145,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",1,"rich",2.42092297088832,4.06520707325269,5.86813516178672,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",1,"abun",14.9564484388364,59.1749408382591,78.7559253144474,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.1,"rich",2.003955078125,2.3707275390625,1.524462890625,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.1,"abun",2.480029296875,3.63662109375,3.114501953125,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.2,"rich",1.770263671875,2.843701171875,4.2753662109375,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.2,"abun",2.38232421875,4.947216796875,11.9904541015625,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.3,"rich",1.6663818359375,2.8040283203125,6.125634765625,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.3,"abun",2.363671875,5.3303955078125,21.5658203125,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.4,"rich",1.58662109375,2.752294921875,7.4613037109375,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.4,"abun",2.32978515625,5.7182861328125,31.0686767578125,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.5,"rich",1.5497802734375,2.671435546875,8.5109375,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.5,"abun",2.37890625,6.025927734375,40.68701171875,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.6,"rich",1.51640625,2.5659423828125,9.3080810546875,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.6,"abun",2.436962890625,6.049169921875,50.3469482421875,0.000977517106549364,"a0.5","a0.5","16"
